element,kanjilist
竹,筌篆筅筑箝箆箒箇筐篇筋簫簿簽筝箱筒篌筆箋箟篋範簧簾簪簣簷篏節箴箔箏箜箕筍篁策答筏算箚箍簡篥符纂笳篤籌篦笙第笥篝笘籐籟籀籔籏笠笈笵篭籃篠噬笶籍籖笊笞笆籘籤笋篳笄笑笹籥籬櫛篶擶篷笏笨笛籠笂篩簟簸箪筰筱筥筬簑竿簇簓箸筧箘箙簒竺簍築管筮筺簗筵箭等筈筴簀簔
筑,築
答,箚
筮,噬
算,纂簒
箭,擶
節,櫛
米,糒蟠鞠糞糧謎番彝糟飜釈糯糠鐇愾糜釉旛彜瀋迷糖糢竊類隣糅鱗粱屎菊膰粐粋粟蕃粲粽楼粒鬻莱麟麋繍糊精粳歯糎粃粗潘墺懊粍蟋粂糂渊粨糀粛憐粁粕鷭料翻粤籾粫審粘噛来粹粥燔燠薮鄰粧屡麹数粭籵粢掬澳粮燦断燐幡粡粉氣礇繙襖奥椈糲釆釋旙悉糘藩奧糴齢糶播継
粛,繍
粥,鬻
粲,燦
糸,羂絎綴総絃綻綛綏縮縺縣縷徽縢綜終絖綵欒絏絛絨綺続縻鯀彝縡縵縉絅綽絹経網縱臠彎懸縫經緇絋緊結組綾攣羅騾絆綱縦縲總績綟綰絞綿緋累線素螺巒織纎纃灣纖纂繕繁繩紡紵紮締紺緯鑼繚繃纛纏纔纜繖繍索緜緡緕紲緬緑轡繆繝續纐繊繞辮緤紳緝紬紙緒鑾繹纒蘰纓蘿繋紘紫紿緞細戀紜紕繼繻櫞紀純紛納籘紂緩潔繭纉纈紗緻編級練變緘紊繧繪蠻蘊遜繽繦係紆紐約紋繰繿邏繙紹緲紅絶絢糾綉鸞葯絣綯絮瘰綢絡絵維縁縛綮綣縄縟縋縹縅統系絳綸綫孫縊縞縒継絽給糺絲綬
系,縣鯀懸纛緜遜係孫
約,葯
累,騾縲螺瘰
絜,潔
絹,羂
維,羅鑼蘿邏
縁,櫞
縢,籘
縣,懸纛
縵,蘰
缶,罍罎鷂罐淘罌罅缺窰瑤遙遥掏陶鬱瑶寶萄缸搖謡綯謠揺徭
罒,罩罕羂鰻聹檸徳壞擇韈睾饅羃攬罔罨欝堽魍縵詈網獰濘懐羅欖罟罸羇鰥鐸贖羆罹髑竇襪犢圜薨驛譯鑼壊纜續憲鬘寧夢幔澤繹甍牘懌儚蘰蘿薯鏝慢還濁環覿讀燭覽嚼賣嚀曙鬟曼擺屬寰惘鑒矚邏楞罠廰買懷躅罵置罷羈釋廳獨爵鐶聽蜀觸署謾黷蔓罪罧蔑囑漫聴罘罫罰
罔,魍網惘
署,薯曙
罷,羆擺
羅,鑼蘿邏
羊,羶瀁美羚義羔羨様撻洋羌蹉羞詳羝羲癬業瑳曦繕燵翔犠膳譱羚儀佯癢議磋姜差犧鱶搓養槎痒遅蘚窯樣達庠闥礒叢嗟羣羮嵳嶬鮮蟻觧羯躾韃艤羹盖着嵯漾善群羸祥縒恙
美,躾羹
羔,窯羮羹
義,犠儀議礒嶬蟻艤
羲,曦犧
羽,醪翁鶲瀚煽摎廖翅翌翊扇挧蓊翆翡翕翔翠歙栩戮戳繆擢曜翦習翫寥樛燿翹翻榻蓼翩翼慴鏐搨耀翳膠翰濯躍摺櫂糴褶糶勠謬
翁,鶲蓊
習,翫慴摺褶
翕,歙
翰,瀚
老,蓍鰭姥蛯耆嗜耄耋咾
耂,暑蓍都煮著鰭孝堵豬酵楮姥渚蛯潴赭緒薯拷儲墸耆嗜教耄耋賭曙屠者老咾諸猪偖栲考覩藷哮闍躇箸睹署瀦奢
考,拷栲
者,暑都煮著堵豬楮渚潴赭緒薯儲墸賭曙屠諸猪偖覩藷闍躇箸睹署瀦奢
耆,蓍鰭嗜
而,臑揣喘糯懦端儒需襦嬬蠕粫猯繻瑞惴耐轜湍濡孺
耑,端
耒,藕耙耘耡籍藉耜耕耨耗誄
耳,聹巌娶聟聒聆娵揖輒聊聞聚摂聖聨躡耽鑷耿楫耻驟陬緝趣弭巖耶顳聆餌囁嚴珥儼掫樶取叢敢廰聰聘輙諏爺瞰攝廳聳聾蟶葺茸揶厳橄聽聲聶聢職最鵈聡輯懾撮聴恥聯椰
耶,爺揶椰
聖,蟶
聚,驟
聴,廰
聶,摂躡鑷顳囁攝懾
聽,廳
聿,肆晝畫簫肇肅筆律葎贐肄鍵瀟壗燼健書繍粛蕭儘腱劃嘯津建盡
肅,簫瀟蕭嘯
肉,臠腐
肋,筋
肖,梢峭哨宵逍悄鞘趙消屑蛸霄硝削銷誚鮹稍
肙,絹
育,轍徹撤
肴,淆
胃,謂膚蝟渭喟
胡,餬糊蝴楜瑚湖醐葫
胥,婿壻
能,羆態擺罷熊
脊,鶺蹐瘠
臣,蔵贓臓臧攬熈竪臥臟緊欖姫藏藍覧襤纜籃腎儖樫覽賢鹽鑑鑒鏗繿慳艦堅豎臨濫監檻宦鰹
臧,贓臟藏
自,厦首馗臭鼾憩嬶寡鼻邉戛道榎邊夏廈嚊息馘導熄嗅嗄
臭,嗅
至,握倒輊鵄垤蛭幄窒姪腟屋擡咥榁耋緻膣薹渥椡桎到齷室臻致臺
致,緻
臺,擡薹
臼,蹈插稻嫂竄陷麑鯢鼬鼡猊鑿餡霓鼠猟蝋寫舅鬩韜叟舊滔搜潟舂舁燬歃毀瀉貎輿倪啗閻兒諂艘冩睨
臾,諛萸腴
舄,寫潟
與,欅嶼擧譽舉襷歟
舌,濶聒乱話舘憩甜憇括蛞舐舒辞銛舖舍活刮闊筈恬
舍,舘舒舖
舎,捨
舛,瞬磔隣鱗麟憐蕣傑鄰舞燐舜桀桝
舜,瞬蕣
舟,艇艝艟磐艀艨艚舫般舳航搬舶舷舮舵船舸槃舩艦盤艪艙艫艘艤瘢艢
般,磐搬槃盤瘢
艮,垠恨狼即琅欝卿節娘饗既退郷漑嚮廊螂慨墾莨響浪懇根瑯榔腿嚼概銀櫛郎粮踉限眼痕狠跟齦艱爵褪良很朖厩朗喞
良,狼琅娘廊螂莨浪瑯榔郎粮踉朖朗
色,絶艷艶
艸,芻鄒趨皺蒭雛
艹,謨芋芟蔡蔵攤糒朦蒂蓍菫摸菟葩韈葛冪茲臓曄檬椛苅羃花欟藜芳蔭藕蒜蒼茘茫菓蓁嘩葎著茱蒻蒔臟蔣芽芝權躪芒芍藤藐槿蟒暎蒋蒟蒄蒐菖茉蓄蒿茵蓋茴葆貘茯蔦藹蔽艨藥罐謹蔘藪勵鋩茶蓊嘆菜茣華蒲瀟葹菠蓆檠獲糢藝蔬磁備護薜驩苞薩苓藁苧襪寛瑾蘯莓莇莞莊菊荐萢荅莽蕚癘苦蕎苒藏蕗蕃薨薛薔驀薀苫蕕藍苟蕁蕩剳鑵懃莟囈萵蓖荊墓萼菅描莱荒蓮菌萠蓚莅慕蘭蘢苑蕨若薺蕀苹驚薗薊薇苡蕋苜慌莵菁萱莨灘萬塔憊寞苛苔歡夢警薄薐蕊讙糀惹蟆蠖諾甍曚慝莖礪儚萪蓐搭荀蓬菎蓑荏落莎莚蘰膵蘿蠎膜錨蟇幕苣苗薑薈蕣薯蕷埖燕餝萃蓴萎荘萍韮蓼莪墸匿僅蕭苳藉穫譁硴敬苙薮蕈英覲繭蘂蘖萩荳莫蘚蘗慈舊蕉渮顴薦苴苻瑛錺樺蘊蘇蘓萌莠荷萄灌萋萸莉蘆薪蕘薙苺薹薬觀蠣蘋邁荻蓙霙萇蓿荵萓荼草儺莢嚆臈模猫錵薫蕾薤蕪歎芙藺蔀芹芬蔔藷芥漠茆葯菱菰葉葡鞴蒭菘葵勤勸募糲艾蔕芫芸艱蔗藻芦蔚躇獏濛茅董菽葷矇茹葮菲葺蒡茸葭茄蓉葢漢藩難蔆孳蒙菷茨葦鞳蒹蒸茜暮鸛芭蔓滋蔑芯茎菴葬葱茗范菻茂菩茖葫饉懽藾蔟
芒,鋩
花,椛糀埖硴錵
芳,餝錺
芻,鄒趨皺蒭雛
苗,描錨猫
苛,渮
苟,檠驚警敬
若,惹諾慝匿
英,暎瑛霙
茲,孳
荅,剳塔搭鞳
荒,慌
莧,寛
莫,謨摸冪羃貘糢驀墓慕寞蟆膜蟇幕模漠募獏暮
莽,蟒
菐,撲僕
菫,勤
華,曄嘩譁樺
萃,膵
萬,勵癘礪蠣邁糲
著,墸躇
葛,臈
蒙,朦檬艨曚濛矇
蒿,藁嚆
蔑,韈襪
蔵,臓
蕩,蘯
蕭,瀟
薛,蘖
薜,蘗
藏,臟
藝,囈
藺,躪
虍,謔廬虚虎虔虜處獻爐虐號濾臚饕虞罅鑢墟遽戯轤膚據櫨鱸戲鑪遞慮劇顱驢蘆歔鯱瘧琥褫盧彪艫醵嘘虧瀘
虎,號饕遞鯱琥褫彪
虐,謔瘧
虚,墟戯歔嘘
號,饕
虫,蟯蜷蟠蚩蚕騷蜴蜻蜈蛎蚶蛍嵐蜉瘋蟒蜥虹蛆蛇蚓蚊蜘蜿蟹蚌蛋蚰蛄蚋蟐髑飄螺蝨蛮蛭諷蝕融螂颱蝗螻蟀蝎蛛蛯蛔掻蠑蠅蠹飆颶蠕蛬蛹蛸蛟蛤蠏蝓蟋蟄螟飃蝌蟆螽蠖蠍強蛞蠎属蟇蝟蝸蝋螳風蝉螢蠧濁蝴蝠燭蝶繭蠱蛩蛻蝮蝣螯颪蝪螫蠻蛙屬繦蠡蝦襁颯蝿蠣蛾矚蠢蠶嗤蝙楓触蜂蜍蛉蚯蜚蜃蟻躅齲雖蜜蜩蟶獨蚣虻蟷蜀觸蟾蚪禹嘱虱蜑蟲騒蜊蚤蚫独囑櫁蜒蜆
蚤,騷
蚩,嗤
蜀,髑濁燭屬矚躅獨觸囑
蜜,櫁
蟲,蠱
血,睾衄衆洫衂恤
行,鵆絎衙衢哘衡銜桁衝衒術裄衞垳街愆衍衛
衍,愆
衣,攘衰壞孃袤衾壤褒醸俵懐袈衷喪禳裘嚢壌襲嬢裳壊製薗園遠譲蓑裴滾裹哀裟襞穰依裝轅襄穣讓曩襃榱裔猿驤袞懷簑装袋袰裏袁裁釀褻表畩裂簔
衤,褸褄褐衿衫初褌褞褊褓複被袙衲衽褝褂衵袢袮襪裙襦襤裾裲襯襠襴襭裼裨襷裸襌襟襁裕裡補襍襖褥袒褫袱袿裄褪袴袵褶裃袷袗袍袂袖
表,俵
衰,蓑榱簑簔
袁,薗園遠轅猿
袞,滾
裁,纎戴截殱鐵
裏,滾袞
襄,攘孃壤醸禳壌嬢譲穰穣讓曩驤釀
襾,票鐔漂嫖鰾飄潭剽驃飃価慓覈標譚蕈覊覃簟縹瓢
西,湮蹲酬酥晒票堙鐔醪酘酲漂嫖賈酳醸醫酪醤醯酷酣逎鰾酢醉煙洒迺酉醢酵飄襾楢栖篥潭栗粟蕕甄剽驃遵慄飃価鱒遷慓覈標遒墫譚僊蕈猷覆樽腰噂擲哂覇覊猶覃樮鄭要醇酋酸簟躑酌醒醋醐酊酒價醜酖釁配醵尊韆茜縹酎醴釀奠醂醍酩廼瓢鰌酔醺醗
要,腰
覃,鐔潭譚蕈簟
見,攬欟攪槻欖靦寛覘覬覧親纜覦襯覡現覯窺覿硯覲覽覓観覺覗覚視觀規覩筧撹俔蜆
規,槻窺
覚,撹
親,襯
覺,攪
覽,攬欖纜
觀,欟
角,桷觴蟹槲蠏斛懈邂触觝觧鵤嘴觸觜埆觚解廨
觜,嘴
解,蟹蠏懈邂廨
言,謨講謀謔誡詭詢誉詣詮誠謁謚謎欒謗詼嶽読詠誣詈謂謖謝簷詰詫臠彎誦詬話藹攣謇謌謹罸詳誤誘鞫贍誥試説誹該謐謄護巒灣諺諷訛譯譴訂訖膽憺託訃討證譱譬訓訊訝諱譫識議警譲譽讙鑾訐諾訟諳擔澹訌辯譖戀計註諮訴諚儲諭論諢証讀譚譎譜譁讖診諠諛訣訶諜諡設讃燮讎讚譏譛譟滸讓變蠻諤訪諸諫訳讒譌讐許訥諦諒記諧諞讌謡藷鸞諏誨這誕檐誼謠詛詔誚誂認諍評詁諂詩謳謾蟾詑課靄語誓誇談詐獄信謦謫諌詒詆誑誅誌瞻誄誰諄詞調請謙謬罰
討,罸
許,滸
諸,儲藷
謁,藹靄
谷,壑卻峪浴穃谺榕谿硲慾裕豁溶郤逧蓉欲熔容俗鎔
豆,豈饐體燈鎧嶝壹橙頭廚逗磑痘凱樹覬殪證戲登闘膨鬪剴鼓澎噎荳鼕鱧短澄榿皷皚禮鐡磴瞽豎軆懿豊彭醴艷鐙厨豐豌艶
豈,鎧磑凱覬剴榿皚
豊,體鱧禮軆醴艶
豐,艷
豕,朦篆逐象檬家豢稼橡彖壕豪喙艨豬冢豫遽嫁遯據曚掾墜塚隧櫞劇毅燧邃蠡隊遂像燹糘濛濠縁矇豚溷醵椽蒙瀦琢啄
豚,遯
象,橡豫像
豪,壕濠
豬,瀦
豸,豼豺貉藐貘墾懇霾貍貂貎貔貌貅貊豹
貌,藐
貍,霾
貝,頤頰領貮饋瀕嘖禎贇貭贓贊貢濺獺頬負贅賈貯贐贄財贋頽頭簣嶺責贔贏貸貫狽濱頷齎頼頡磧贍貧贖貪厠績罌頴頻須竇碵碩類犢賻噴購樌鬢巓顆顋癲墳賺韻償籟癪題嶺積顕側實唄潰續賽遉纐櫻廁嬰圓偵顔穎顏顛額殯幀襭牘遺擯膩纓屓鑽瑣嬾嬪敗顎蕷鑚匱賜囂嚶囎賛賠慣鬚惻覿讀顳顧顱隕傾殞寶纉賢賭賚賣纈潁則讃讚顫願顰顯顴戝寳濆賞質賓賦繽領債癩蘋憤賤噸損賑測項頑頌煩攅懶賂貶賍賎買賃頸預蹟頒順熕躓賁販貼費貨賀貴員檳鵙價頓頚頗頃瓔勣櫃貿貰賄瞶贈黷鎖頂頏漬賊資貳貞瀬貲貽鸚簀槓藾頁
貞,禎碵遉偵幀
貢,熕槓
貫,樌實慣
責,嘖磧績癪積債蹟勣漬簀
貳,膩
貴,饋簣潰遺匱櫃瞶
賁,噴墳濆憤
賈,價
賓,濱鬢殯擯嬪繽檳
賛,鑚纉讃攅
賞,償
賣,贖竇犢續牘覿讀黷
賤,濺
質,躓
贈,囎
贊,鑽讚
赤,赫赦赧赭螫嚇
赦,螫
赫,嚇
走,徒跿赱趙赳起赴趣越超趁趨
足,蹲躙跿蹙跳蹤躪蹴蹠蹈蹉蹼蹣跨践跼躡蹶蕗踐踟踝踊踞踏踰趾捉踪跋跌促露跏踵踉跂趺鷺踈踴蹊蹇躋躄跫跟躑躅蹟蹐蹄躊躓躇跪距齪蹌蹕躍跖跣跚蹂躁跡跛路躔
路,蕗露鷺
身,躬謝軈躯麝窮躰軅躱躾軆射
躬,窮
車,輟縺輸嶄輅輹輌褌輊輓揮輒輝範較漸輕輩輜撃輛輔鏈軽慚軾皹陣轤蓮塹皸軻轡轉鏨軼轢繋轣斬轆諢軒軫軸軟庫轌轅運囀轄轟渾慙轜軛転嗹轗轎轍轂軣軋鶤輙暫輿琿軌俥漣輦葷輳輾輪軍連輻暉輯暈載槧
軍,褌揮輝皹皸諢運渾鶤琿葷暉暈
載,鐵鐡
轉,囀
辛,縡僻宰薜甓薛璧辧避譬辭臂辣辮劈壁霹辯嬖擘辟襞蘖蘗闢辞癖滓辨辜躄檗瓣梓
辟,僻薜甓璧避譬臂劈壁霹嬖擘襞蘗闢癖躄檗
辰,振娠脣晨膿震唇蓐儂辱農濃耨賑褥蜃宸縟溽
辱,蓐耨褥縟溽
農,膿儂濃
辶,縺逹逑逅逋鎹謎逞髓逗逎逍逖撻迴逕迺鏈樋遽遲燵譴遙遘遯遉遡蓬遶邉隧膸遞遒辿迄腿邊邇遐遑隨燧辷邂遁遜遨遏邃慥篷迂槌嗹辻闥邁遖邏邀迦這暹漣迥迹逾逧韃迸褪迯縋逢逶韆迚逵逡逼靆迢
迷,謎
追,槌鎚縋
退,腿褪
送,鎹
通,樋
造,慥
逢,縫蓬篷
連,縺鏈蓮嗹漣
逮,靆
遂,隧燧邃
道,導
達,撻燵闥韃
遣,譴鑓
遷,韆
邑,悒癰滬廱扈
那,梛娜
郎,廊螂瑯榔
部,蔀
郭,廓槨
郷,饗嚮響
鄭,擲躑
酉,蹲酬酥醪酘酲酳醸醫酪醤醯酷酣逎酢醉醢酵楢蕕遵鱒遒墫猷樽噂擲猶鄭醇酋酸躑酌醒醋醐酊酒醜酖釁配醵尊酎醴釀奠醂醍酩鰌酔醺醗
酋,蹲楢蕕遵鱒遒墫猷樽噂擲猶鄭躑尊奠鰌
釆,蟠番飜釈鐇釉旛瀋竊膰蕃潘墺懊蟋鷭翻審燔燠澳幡礇繙釋旙悉藩奧播
采,綵彩菜採
里,鍾黥厘黑撞橦糧童艟勳黝黒哩壥點勲理廛黠黔黯黛黜種燻墅潼纏甅糎慟纒浬墨釐腫働幢憧霾儻踵裡薫默貍黙竰鯉衝董瞳熏黶裏黷量重埋俚狸黨黴鐘動僮躔野醺
重,鍾勲種慟腫働踵薫衝董動
野,墅
量,糧
金,鍾鈞瀏鐔鎬鎹鎧鋳鈑鋲鐃鍬鐚鍵鐓鎭鐇鍼鈕鈩鈔鋺鍠鎮鐐鐸鋼鋩鈍鈎鍮鏈鑢錐鉤鉱鑷釘釿鑼鏘鑵銘鉾嚠銹鉦鑠錆劉鑰鑿鉢錚鏨釶鑪鑾銭鉉鉈錨鑽錏釵釼釟錬錙鑚鏝崟鉅鉄鉐鉋銓錘錫钁釧鏥鑛鏑録錦銅銑鉞鑁鏐鏤針釦鈴釖鑑錣錺錮銀銛鉗鋏鉚銜銕鏡錢鑄釣釜釡錠鑒鏗錯錻銃銚鉛銷銖鑞鏖錵鑓釛鎌鋸鋤鐵鐡鎰鐺鋒鈬鋪鈿鍄鐶鍋欽鎗鎚鍔鍛鏃鈴淦鋭鍜鎖鎔鐙鈷鍍鐘鐫鍖
長,肆帳髯髭髢悵髣髮髪髦套髟髫鬣鬢張鬘鬚鬟萇鬆髻髴脹髷漲髱
門,躙們濶関閭閣悶欄閉爛閠聞椚躪閘閤閥閹閙閧簡蘭繝潤襴闘闔墹擱關闕闡癇澗闢闖燗櫚憫闥捫藺問閃闃嫻闍閂閖閏閔閨閻嫺閼閑闌瀾開閲闇閾闊閊閇間
閏,潤
閑,嫻
間,簡繝墹癇澗燗嫺
閔,憫
閣,擱
閭,櫚
闌,欄爛蘭襴瀾
阜,埠
阿,婀痾
陏,随堕
陰,蔭
隆,嶐窿
隊,墜
隋,橢隨墮
隶,糠隸康鱇慷隷棣逮靆
隹,躙攫攤欟贋椎權躪衢擁羅軈罐雙鶴帷獲罹護驩催鷦錐憔壅癰鷹鑼鑵推霍雉確碓戳截甕膺擢儁灘曜歡讙蠖権携蘿惟燿歓雍售應囃钁雎穫顧雁隼唯礁観籬隻舊蕉讎雀顴雋雄潅凖灌耀雅雌薙讐雇觀匯儺邏樵崔襍集焦癨藺雕雜瞿准暹勸廱雛軅離準雖寉維濯懼堆摧進淮勧難奪奮騅躍矍鸛櫂糴稚糶虧懽誰鐫攜雑
隻,攫獲護蠖钁穫矍
隼,凖準
隽,携
雁,贋軈鷹膺應軅
集,襍
雇,顧
雉,薙
雋,儁鐫
雍,擁壅甕
雜,囃
離,籬
難,攤灘儺
雨,電孀漏艝雩雷臑靈靉曇零罎雲糯壜懦擂雰儒霏需霜襦霎霖霍嬬蠕澪霆霞霊霓震樗霑霹霸霄櫺膤霈繻零轌鱈繧霧霪霾霽露轜霰霤霙蕾癨靂濡孺雪靄雫靆雹
雪,艝膤轌鱈
雲,靉曇罎壜繧靆
零,澪
雷,擂蕾
需,臑糯懦儒襦嬬蠕繻轜濡孺
霍,癨
霜,孀
青,蜻情静瀞倩猜鯖錆精菁清靖靜睛晴請
静,瀞
非,俳靠靡暃孅悲輩誹緋齏翡斐纎霏纖腓鯡榧韲排裴籖韭韮殱讖籤匪殲薤懺蜚琲菲徘懴扉罪
面,靤靦緬麺湎靨
革,鞠靺韈靭鞣靴鞭靼靱鞦靫羇鞫鞘霸覇覊鞜鞁鞨鞴鞏羈勒鞍韃鞳韆靹鞆鞐鞄鞋鞅
韋,緯圍幃諱偉韜違韓葦衛
韭,孅齏纎纖韲籖韮殱讖籤殲薤懺懴
音,竸竟暗黯章織韶幟戠臆韻億韵憶響境識諳噫鏡意檍職熾闇
頁,頤頰領瀕獺頬頽頭嶺頷頼頡頴頻須碩類巓顆顋癲籟題嶺顕纐顔穎顏顛額襭嬾顎蕷囂鬚顳顧顱傾纈潁顫願顰顯顴領癩蘋噸項頑頌煩懶頸預頒順頓頚頗頃頂頏瀬藾
頃,頴穎傾潁
須,鬚
預,蕷
頓,噸
領,嶺嶺
頡,襭纈
頻,瀕顰蘋
頼,獺籟嬾癩懶瀬藾
顛,巓癲
風,嵐瘋飄諷颱飆颶飃颪颯楓
飛,飜
食,瀁饗饕癢餮鱶養餐館喰
飠,饐饋饌饅饑飫饒饂飯飢飭飮餾餽蝕餤餬餉餡餠餒餝餞餓餅餌館餔餃飽飲飾飴飼飩饉
養,瀁癢鱶
首,馗道馘導
香,馨馥
馬,馳駆騷駄駅騫騰駁馼馴騙騾驕碼驩瑪駸駟駐駑篤驛驀驂驍駒駝驚驃驗駢駭駮驟憑駕駛媽驅駱駿駘駲闖覊驢驪驥駻隲驤驫騎罵騨騏羈騁騅駈騒馮馭験
馮,憑
骨,體髓鶻髑骼髀髏髄骰磆骭猾榾骸滑
高,稾鎬稿髞蒿亭嵩藁膏敲槁塙犒嚆縞
髟,髯髭髢髣髮髪髦髫鬣鬢鬘鬚鬟鬆髻髴髷髱
鬥,鬮鬧鬪鬩鬨
鬯,鬱
鬲,獻融鬻隔膈
鬼,魔魏魁魃魎魍魂蒐愧巍魑魅魄塊餽瑰隗傀嵬醜槐魘
魏,巍
魚,鰯鰈鰻漁鮗鮃鮎鮖鰉鰡鰺鰮鮨鯏鮴鯀鰭鰲鮑鮟鰾鰥鯆衡鮒鮓鯊鰰鰤癬鱗鱚鯛鯔鯡鯣鯢鯖薊鯒鱸鱆鱒鯑鯤鱇鱶鯵櫓鯨蘚鱈鱠蘇蘓鯲鱧鯰鯱鰕鮭魯魴鮮鰛鰔艪鰍鯉鮠鰊鰓鮫鮹鰆鰒鰄鰐鮪鰹鰌
魯,櫓艪
鮮,癬蘚
鳥,鵆鵝嶌嶋鵞鷄鵑鷆鶲鶇鵄鵐鳬鶺鶚鵁鳫鵜鷂蔦鶴鶻鷏鶏鶩鷁鳧鴬鷦鴿鴫鷓鷹鴦鴪鴾鷸鷯鴣鴈鴻鷭鴉鴟烏鷲鷽鴇嗚鴆鴒鷙樢鴃鴎鴕搗塢鷺鴛鴨鶸鶫鳶鶤島鸞鵲鳩鵤鵬鵙鳴鳰鵡梟鸛鵠鵯鵈鳳槝鶉鸚鶯鵺
鹵,滷鹹鹸鹽
鹿,麒麝麓麑麌麟麋麕麁麗轆灑塵麈驪儷鏖漉
麗,灑驪儷
麥,麩麪麭
麦,麺麸麹
麻,魔縻嘛靡糜摩麾麿麼磨
黃,簧廣黌曠礦鑛擴壙
黄,横
黍,黐藜黏黎
黎,藜
黑,黥勳黝壥點黠黔黯黜燻儻默熏黶黷黨黴醺
黒,黛纒墨黙
黨,儻
黹,黼黻
黽,繩蠅鼈鼇竈
鼓,鼕皷瞽
鼠,竄鼬
鼡,猟蝋
鼻,鼾嬶嚊
齊,齋齎齏纃薺儕臍韲擠劑霽躋濟
齒,齟齔齬齲齦齪齧齷齣囓齶齠齡
齧,囓
龍,朧壟龕竜襲蘢篭寵隴籠瓏滝聾瀧槞
龜,龝鬮
龠,鑰籥
𠂊,奐寃鰯悗鰈鰻漁詭鮗鮃鮎菟換逸象鮖誠鰉鰡龝鰺鰮筝鮨鯏鮴鯀輓魚負危晟桷鰭龜簷鰲橡鮑静晩鮟觴鰾煥鰥蟹鯆衡鮒挽争贍豫鮓鯊鰰鰤槲穐癬鱗鱚鯛鬮鯔鯡焔陷鯣膽纔憺鯢鯖歿薊急勉鯒餡麁蠏粂鱸譫陥鱆鱒鯑擔澹鯤鱇斛鱶鯵懈櫓鯨蘚瓊鱈鱠夐蘇蘓邂灸鯲讒鱧鯰浄鯱像成渙色角触鰕絶觝喚鮭沒檐魯魴筬鮮鰛觧鰔艪鵤鰍啗鯉畝閻跪嘴娩久脆鮠諂觸玖城鰊鰓俛蟾鮫冕免鮹鰆鰒觜埆艷觚鰄鰐解柩疚巉鮪亀兔瞻廨鰹鰌艶盛
𠂢,脈派
𠂤,追阜埠
𠔉,券圏巻
𦥑,欅攪爨嶼學黌擧譽舉襷興鷽歟諛與覺萸腴臾盥釁溲
𦰌,謹
𩙿,餘
