radical,kanjilist
⺌,当光肖尚鎖
⺍,誉獣単蛍脳悩挙図鴬栄珱巣労覚畄桜営厳学
⺕,当睫龜龜禄彗妻争兼駸剥隠急唐穩庚穏隶庸捷夛隱浸侵聿事爭亊秉雪尋尹帚
⺗,忝慕恭
⺤,稲孚稱蹈稻奚隠遥穩瑶穏韜覓滔隱埓受婬舜埒采爭愛妥爵爰将爲淫
⺦,壮寝状将
⺨,狼狩獺獵狷獰狽獪狙獲猩猜猛猖犯猗猊犹猝猟猴猯狎狃狂猶狄猾猪猥犲狆猫猿獗狛狠狡獏獨狗狢狭獅狒獄狹独狸狐
⻌,逐逸速追述逝逆逓迩逃通途退透送迷遥避髄遠遼遵巡遷遣遺遮遭迅還遊道遇選運遅随辺迎違適達遂遍過込週迪近進迫返逮連造迭
⻏,祁都部郵郷鄒邸邦邪那邯耶鄂邱鄲鄰郊鄙郎鄭郁邵邨郤郡郛郭郢
⻖,阨薩隣陵隈険隠陷陣院陶隙陲陦陽陪陳隘陥陬隧陰險除隍陜陀陛陏隗階障隕降陂隴隔際隋陞隰隱陝隅隊附限陋陸陟隲陌隆阮阡阯阻阿阪防
マ,予勇甬令疑
㐬,旒流硫毓疏棄梳琉
㔾,犯
㕣,船鉛沿
䍃,謡揺
一,畫虚蚩單雩旦橿橿橿彊彊彊徑兪祗柢經妛僵僵僵輕逕同酉羝砥武岻匐丑下痙牴拜拜拜拜胝函丞上万百与七不正鬲莖且丁丕号命僉拝薑薑薑戛鴟丘韭丙剄蝠無弌令弐並司或舞歹夏辷画更侖勁令天低三三三両弖丈觝疆疆疆合壽畐閂頸今册冨詆輻畏再兩逼兀烝爾脛
丁,貯亭竚打苧紵釘訂灯庁寧佇可可甼町叮酊疔頂汀
丂,朽雩巧考
七,切虍叱叱亳托
万,蛎砺栃杤励
丈,吏吏杖仗
三,菫峯騫騫実蹼謇謇蚌烽奏素素樸春塞塞泰寒寒賽賽搴搴秦拝寨寨僅璞襄襄舂寿蹇蹇羮冓毒鋒逢承奉
上,峠戚叔垰裃鞐
下,峠丐圷颪梺卞垰雫裃鞐閇
不,抔丕杯盃坏否罘
与,写
丑,鈕羞忸狃紐衄
且,齟柤砠畳祖宜蛆組沮徂狙姐岨粗租咀雎苴俎助疽疊詛爼阻疂査
丕,歪胚
世,鰈紲緤楪蝶諜笹牒渫葉泄貰喋
丗,帯
丘,兵岳邱蚯駈
丙,柄炳陋病鞆
丞,拯烝
両,輌
並,椪普
丨,旧淵肅峯印師收畢蚌烽華兼兼嚢拜赳不渊舉拝央崋曳甲丱申由个叟中弔引笛弗聿介候攸鋒也収逢表奉
丩,叫糾
中,仲遣忠串狆冲貴虫迚沖
丰,邦蜂峰
丱,關聯
串,婁婁患
丶,玉菟亙亙勺朮叉冢尤刃太丹丸州州州永犬斗斗斥劒仞為以弋甫曵丼凡氷叢瓦半尨求兎蚤蚤兔
丸,藝執埶笂勢孰
丹,旃栴
主,往駐注註住麈柱
丿,勿勿淵熈肅帥朱魃印卿亦必師祓午卯羞禾向秡戈第鬼失不渊夭差牙粤曳丱呂屮耒無跋弟屯舞矛戊毎我寿弗眉几年奥勹介九升釆廾卑卑亳及簒𠂤尓禹着兎乏瓜鵯系托千乍乂乃彡彡彡乎爪黻少
乂,獵刄刹肴図図攵网网鬣史文篦蓖凶匁気碯弑区更殺丈鑞艾臘爻爻貔希刈
乃,孕秀朶盈仍
久,粂灸畝玖柩疚
乇,宅託
之,芝乏
乍,祚柞酢鮓窄炸胙怎作昨咋詐
乎,罅呼
乏,泛貶
乕,逓
乖,埀埀
乗,剰
乘,剩
乙,孔乳扎乱煢乢札蝨礼訊七軋乞九也亂虱糺
九,尻抛染旭馗丸究卆軌鳩仇雑
乞,乾吃訖屹迄
也,馳髢池施釶弛地他
亀,穐
亅,亦争丁牙我事爭亊了于乎
了,予凾丞承亨
予,抒豫序舒矛杼預野
争,筝静浄
二,壞壞亘齊豢晋晋卷咢発那霊舉皐皐犀犀弐夸眷屬屬巨巨劵弍拳斉亟亟云半懷懷脊脊亞亞互竺晉晉乕元于汚表表虧仁亜亜井五五些
于,芋吁宇迂紆盂
云,魂伝雲会藝耘陰紜転芸
互,亙亙冱沍
五,伍吾
井,囲穽耕丼畊
亘,垣恒宣桓
亙,恆
亜,唖悪
亞,椏惡錏堊壼壺
亟,極
亠,育京嫡亥交享黐齊亦禀离漓亮六豪亢衣魑亡禽滴文立圖方雍鏑璃適敵㐬夜弃主雜卒亰充摘卞帝毫畆畝亳之稟亶謫市亨玄高
亡,肓罔盲妄茫芒贏氓荒忙忘虻望羸
亢,抗航杭吭坑頏伉
交,較鵁絞効佼駮蛟纐咬郊校效餃皎狡鮫
亥,孩該核駭劾咳骸垓刻
亦,奕恋蛮変弯迹跡
亨,烹
享,椁淳惇敦醇孰鶉郭諄
京,黥凉椋就鯨涼掠諒勍鍄景
亭,渟停
亮,喨
亶,羶擅壇顫氈檀
人,亥臥豢実会蹼企茶禽卷奏樸傘余庚命僉僉僉診个令以璞舎舗俎俎眷侖劵舍令拳羮閃臾合介仄脊今囚内疋珍龠从从倉全會
亻,倅們倹俾伐伸俳休借個倒倆俘伊伝倚僻伍俵聚伎倖僵倍倨倔俶伜俺伏倩備催偲在偽佳侫侘仲儒旅健偬佰使仙償億仰付隹偈側佼併侭化任儀儔儕儁侮佯佻傭偵偉価鴈佶价儚儂儖件侈侯侠偶假但佝侑仞優儲例俄体便佇僅傑傅偐僊雁傾傳偸佑依仟儘俊佐傲傍僂停働偕佛促住侃仕儼儉儡儻仔侍何侶佩作係偏傷夜傚債偖低佚佃佗侏供他仭儷儺仮仗代位侵像偃做傴傀僞値倫僧保估候倬攸倥倪伽俥俑衆仇彳仆俐俤俟俸僑僥倦價僕倭倶伺俔俯俛仂仍伶信倣僖倡僭俗伯俣存俚伴仁仏什似伉僮僚僣
仁,佞佞
仄,昃
今,衿衾黔吟貪岑陰矜念琴含
介,疥价芥界畍
从,從齒齒孅夾纖傘傘巫讖籤來殲雜卒懺坐
付,拊坿鮒符府柎苻附咐
代,垈貸黛岱袋玳
令,領羚聆零苓羚玲零聆怜鴒鈴領蛉玲鈴伶齢囹冷齡冷
以,苡似
任,恁荏姙凭賃袵
伏,茯袱
伐,閥筏
休,鮴烋恷貅
会,桧絵
位,莅
何,荷
余,徐畭途餘叙斜敍塗除敘荼蜍
作,筰
佰,宿
來,憖賚麥徠
侖,崙崘論倫輪淪綸棆
侯,喉篌猴
便,鞭
保,褓褒葆堡
修,蓚
倉,愴蒼創搶槍艙蹌瘡鎗滄
備,憊
僉,倹検簽檢鹸剱険驗斂剣險劒匳劔儉歛臉劍嶮瞼験
僕,濮
儿,奐竟虎睦尢尭旡禿亮羌廛先耽匹胤胤埶鬼発枕鬲忱鴆眈皃売淕児兄四㓁兇兒兆兆酖免元兎冏兜逵允兀
兀,尭光堯
允,梭悛竣駿浚皴充充吮峻逡
元,完冠寇翫頑玩芫阮
兄,祝呪克兌況况党競競
充,銃統
兆,跳逃晁窕佻姚眺銚桃誂挑
兇,椶
先,筅洗贊贊銑跣
光,絖晄輝恍洸晃胱耀
克,兢兢剋尅
兌,脱説蛻鋭税閲悦
免,悗逸輓晩挽勉娩俛冕兔
兎,莵
兒,麑鯢猊霓鬩貎倪睨
兔,寃菟冤纔巉
入,兪叺杁圦陝陝込鳰糴兩兩
全,筌詮栓銓痊
兩,倆魎蹣輛裲滿瞞
兪,輸愈愉鍮楡覦渝揄蝓踰諭偸瑜喻逾喩瘉
八,黹誉共公分尺騫寅兮具挙其六謇兵兼業塞嚢呉眞寒賽搴邉興益釟曾曽只寨儿弟並與并前穴釡叭蹇酋典兌袞輿爾
公,翁枩訟松舩頌蚣聡瓮
六,宍冥
兮,盻
共,異暴閧蛬殿巽鬨拱供哄巷恭洪
关,関咲
兵,鋲梹浜
其,稘箕旗基碁麒斯淇簸朞騏期祺棋欺棊
具,真颶惧倶
典,腆椣
兹,磁慈滋
兼,賺嫌歉慊廉鎌蒹謙
冀,驥
冂,奐黹嫡朿絅冉喬囘向同网丹炯敝滴鬲岡咼鏑繭周而適敵両奥冊摘円迥册册内尚奧冏禸謫南兩爾高
内,衲蚋丙納訥吶靹肭
冉,髯稱苒再
冊,扁嗣侖刪龠跚珊柵
再,冓
冏,橘烱鷸譎裔商攜
冒,帽瑁
冓,講購篝遘媾覯搆構溝
冖,孛冦冪宀畳写冥冤睿壹爨蛍煢帯亮冠亭豪冢學帶鴬耽嚢薨黌塋憂蠹索榮栄鬱枕夢旁甍邉螢忱蠧犖鷽鴆覺労覚瑩戞營受眈舜売彙愛疊営帝毫㓁壱亳勞軍酖釁蒙冩冨壼学壷冗疂鶯帚
冘,沈
冠,蒄
冢,塚
冥,暝榠幎螟瞑溟
冫,冬尽凉弱弱寒塁於匀楽凝凖凜凛軣决冲准冽凋冰凄凅冱凌况冴率次馮冶凍冷疂冷
冬,鮗終柊螽苳鼕疼
凌,蔆
几,肌鳬亢飢机鳧凱凰夙凩風珮殳凪凧処咒凭佩凡鳳冗
凡,筑贏恐蛩跫鞏帆梵汎羸
処,處拠
凵,艸齒鬯函凾歯出凶屆凸凹屮画
凶,黐离脳悩漓魑禽璃匈兇
出,柮祟黜屈拙咄朏糶
函,涵
刀,切初分契齊刄券茘挈朷刃剪辧拐枴叨劈劒屶仞召釖辺刧齧解
刂,刊刋兪刹刑帰利刔箚列刎剤剰剿剥渕剳剽割薊劉剣創剴副剌剋剄班劇劑剝削剞則剃剖前劃剛剔辨剩劍刪刳別判到刻刈刮刺刷制罰
刃,靭忍籾
刄,扨靱剱釼劔剏仭衂
分,吩瓰汾竕彜貧雰岔寡枌氛忿紛盆粉芬扮頒釁
切,窃砌
刈,苅
刑,荊型
列,洌烈例冽裂
別,捌
利,鯏犁莉痢梨俐蜊悧
到,倒椡
制,製掣
則,厠側廁惻測
剌,溂喇
前,揃剪翦煎箭
劉,瀏嚠
力,勘務抛勳肋恊飭勵努劫懃効劬勉加劭劣劾勅励功労劼助劵勁幼勃男勍釛脅勤勸募朸勦勒脇勧勞勣協仂勢勠動
加,珈袈笳枷駕架跏迦伽嘉茄賀痂
助,莇耡鋤勗
劵,勝椦
勃,渤
勇,湧踴
動,勲慟働
務,霧
勞,癆撈
勹,勿鞠勾旬勺鞫淘芻芻匐菊包甸掏陶匍匂匁匀句為為麹掬萄匈椈綯別蜀冩爲爲
勺,芍妁灼杓的釣約酌豹
勾,鈎
勿,刎匆物易忽笏昜吻
匀,鈞韵均
匂,葛曷
包,垉鮑靤砲抱苞炮胞匏庖鉋皰枹咆麭泡飽疱髱蚫鞄袍雹
匆,怱
匈,恟胸洶
匍,葡
匐,蔔
匕,它尼肄齔鬯眞此死匂化北匙鴇能能老牝皀疑壱頃旨比
化,花靴訛囮貨
北,背乘燕剩冀乖
匚,頤頤堰堰篋篋匹匹匝匝匱匱匿匿匪匪匳匳区区匣匣巨医医匯匯匠匠匡匡偃偃區區柩柩
匝,箍
匡,筐框筺
匪,榧
匱,櫃
匸,亡
匹,甚
区,駆躯鴎枢殴欧
医,醫翳
匿,慝
區,嘔嫗嶇奩樞甌驅歐毆傴謳
十,孛專專貭乾盾煢阜卉挿懐直喪支幹惠惠蝨真夲傘壊索訊竍叶計皐戎隼鴇古干針籵辻辛韓斡戟翰卒卆半瓧朝廾廾卑聽協率鵯早博南千汁什卍聴
卂,迅
千,刋瓩挿挿插竏粁仟歃垂阡熏重乖乗
卅,丗
卆,伜翆粋忰枠砕酔
升,飛飛昇陞枡
午,忤杵許卸
卉,尭奔賁
半,絆袢拌胖叛判伴畔
卑,俾睥脾髀痺裨碑婢顰牌稗
卒,倅悴瘁醉翠碎猝萃粹埣淬
卓,罩悼綽掉棹倬啅
南,楠献遖喃
単,褝禅弾戦蝉箪騨
卜,卦睿朴占下上訃赴止鹵外卓仆疋貞
卞,抃
占,鮎點砧覘苫笘黏岾店点粘站拈沾貼帖
卦,褂掛罫
卩,即報宛印範却卻卯卷卮抑夘苑叩命氾怨昂令鴛厄卸服
卬,仰迎
卯,留聊卵劉昴鉚茆柳貿
危,詭跪脆鮠
即,卿節喞
却,脚
卵,孵
卷,蜷惓圈綣倦
卸,啣御
厂,蔵糒厘貭厥蛎厦后盾砺厭厮鳫勵卮厠備戉栃歴灰鴈纒釐广遞辰雁戚戚励嚴圧崖巵岸産啀仄鞴厰原厄褫彦厳暦厚乕反厖厨睚厩
厄,阨危軛扼
厓,涯
厘,甅糎竰
原,愿願源
厥,蹶蕨獗
厭,壓靨黶魘
厳,巌
厶,育公払宏勾肱私窓台弘鬼広強紘嚔能弁㐬矣牟至云畆簒畚參晉晉参厶瓜去允仏
厷,雄
去,却劫怯盍法刧
参,鯵惨
參,鰺蔘驂滲慘
又,報竪壑暇緊雙叉叉支粲掻凾赧叙歿盈腎度殳賢遐餐叟隻圣燮叔曼叡瑕蝦受取鰕双双堅亟沒友葭豎及頚収反奴騒服馭
叉,靫釵扠蚤
及,汲吸笈岌級扱
友,抜髪爰
反,汳鈑飯版皈板叛仮坂販返阪
叔,寂椒俶督菽淑
取,娶娵聚陬趣掫叢輙諏最
受,授綬
叟,嫂捜痩搜艘溲
口,啼衰衰吁吩京嘖享吏君哺啻獣單單鵑喉哩名揖靈靈靈嘔嘛嘩狷后哨吃啣悁絅喘啾喫吊哘贏亮部嘸豪占吝聖喬喙倍如喧喪喪吟吋吸吐各嘆嘆哽向哲吹同害唖呶匐哉右噴炯嚢石史哈呷咯言束圜呵台咢咢呼呉囈噺嚠凾呈呻叱嗷唏唔碚圖拐楫唸唐枴唄嗾轡叩呰塩嚥噪呱叨嗽唹加陪緝唇杏鬲咤叶呪咸味噬捐噤噫邉叺咬号咥命唆僉僉舌燕售嗔咀咏咨哀呎足囂囂囂囂嚶囃噛器器器器囎谷邑賠品品品咼呂呂辟只嗜蝠嗚嗣唯呀召句嚼噂囁囀嚴嚴噎知嚏嚔串嚀哂古司叫襄襄或釦唱侃鬟咆咒咒咲咽可呑中咾呟哇咳剖培焙殕寰嗹和叮呆嚊嚇噸噐噐噐噐涓噌嚆叭告哄咄咐咋唳嗟唾嗤歎叱扣喃喚啀問哮吠合吻壽嘶兄亟事哢吼吉畐哭哭啜毫艱雖喀啗別喨喻迥吮亳革葺嘯嘴員吭吶尚衞鐶喩啖鳴喜難龠龠龠啝嗅官吽否囓嘘回嘱冨娟豆冏吾袁啓喰獸獸獸嗄善喋喟羸倉喝俣啌啅輻輯哦听亜韋逼菩嘲囑亨含啄喇喞喊高高
古,嫡固罟蛄苦姑滴故鴣怙居胡鏑適枯敵辜克摘沽估詁謫鈷
句,煦蒟鉤苟局駒劬佝枸怐拘狗齣
只,枳咫
召,髫韶招昭劭超邵紹貂詔沼齠迢
可,奇竒柯呵軻苛舸訶何河珂阿哥哥
台,始胎颱怠怡苔紿笞駘殆飴治抬詒冶貽
史,駛
右,祐醢若佑
号,號
司,笥嗣覗祠伺飼詞
各,略閣輅畧洛貉酪烙咯骼駱咎咎格珞客賂絡狢恪挌茖路
合,龕閤答翕荅哈鴿蛤峇粭拿姶拾盒恰袷洽給
吉,廚詰結頡黠拮佶鼓周舎舗劼髻桔嘉喜彭臺
吊,常
同,筒洞興銅粡胴恫桐
名,銘酩茗
后,逅垢詬
吏,使
向,嚮餉
君,桾裙窘羣郡群
吝,悋
否,痞
含,頷莟
吾,衙悟梧唔牾寤圄珸齬晤語
呂,閭梠麿侶營筥営宮絽
呆,棠襃保
呈,酲逞程郢
呉,蜈娯誤茣虞麌
告,靠酷誥窖皓浩晧梏鵠造
呑,喬
周,稠惆鯛雕週彫綢蜩凋調
命,掵
和,啝
咢,鶚蕚萼鄂顎諤愕鍔齶鰐
咨,諮
咸,鍼箴減鹹緘鰔感喊
咼,禍萵窩蝸渦過堝鍋
哀,袞袞
品,嵒髞操澡蕚懆噪譟繰燥區臨躁
員,韻圓隕殞損
哥,謌彁歌
唐,糖塘溏
善,繕膳
喜,橲熹鱚嬉憙僖禧
喬,驕蕎矯嬌轎橋僑
單,殫憚戰闡鄲襌嬋彈禪
嗇,檣薔墻牆穡艢
嚴,巖儼
囗,固固囲囲国国図図囿囿困困圏圏駟圜圜圃圃菌菌圍圍圖圖園園麕麕圓圓圄圄國國圉圉粤粤圈圈鄙泗團團鹵鹵因因四四箘箘団団囮囮囚囚溷溷回回囹囹
囚,褞鰮瘟饂慍媼膃榲泅
四,圀圀駟泗
回,徊禀茴迴蛔圖稟亶嗇廻
因,恩茵氤咽姻烟
困,悃梱
固,箇個涸痼錮凅
国,掴椢
國,摑幗膕
園,薗
土,垈湮垠壓堰壞堤睦睦堙堙垉垣堪壤壟壥堽壑垢坡壜壕堺汢冉坤垪坿煙坦廛肚吐堵堡堯壗場垤坪基在牡哉塞塊墟墅捏赤壌走塒壅幸埶埶埴甄墳塋壇墾壊墓塑塹庄埼塁塩増境塔塀墺繊敖壁社墜塚墨墻塗杜籖圸竃埖墹塲墫墸塾圻埣陛埜圭圭塙塰填塘寺埔埠圣圷竈陞域圧墮涅達塵塡圦培埓地耂栽塢埒毀坂疆至淕淕堅堋埀埀坎垂垂坩堝堆壙壘堊懴坏埃址城頚垓垳坐堂袁裁坑埆型垰坊均埋去堀逵逵堕載
圣,径経軽怪茎
在,恠
圭,卦恚畦奎佳硅窪崖蛙哇珪啀鮭封娃挂閨袿桂街鞋睚
坐,挫座
坴,陵陸
垂,睡郵陲錘捶唾
埶,熱
執,贄蟄鷙摯
堂,瞠螳
堅,樫鏗慳鰹
堯,蟯撓饒鐃橈驍繞遶翹澆蕘燒僥嶢磽曉
墨,纒
士,壹壯壮志屆蠧隷賣仕殼轂売壽吉款壱声壻壼壺壷
壬,妊衽任婬廷淫
壮,荘装
壯,莊弉裝奘
声,馨磬聲謦
売,続読涜
壳,殻
壹,饐殪噎懿
壽,檮籌儔擣鑄疇躊濤
夂,梭輹悛峯冬後謖綾竣各烽禝稷憂変慶駿麦夊処浚麥鑁蝮夐夏崚皴条复隆蜂菱愛鋒馥凌愎峻椶峰逢鰒稜絳逡
夅,降
夋,唆俊酸
复,複復腹
夏,厦榎廈嗄
夐,瓊
夕,宛名梦夘苑夢窗拶怨歹夛夜多多舛鴛外汐
外,迯
多,夥侈移
夜,掖腋液鵺
夢,儚
大,奄奐美契奇爨撩瞭奎奚套奕奩鐐臭奨奔太夾夾類春莽泰戻夲夫繚樊夬突鷯遼秦犬夭潦央夷夷器莫夸舂陝天奬奥暸因燎奘尖奧奪奮畚参奢奠奈爽爽僚奉
天,蚕关送奏癸昊矢朕俣
太,汰駄葢
夫,畉嘆失麩賛賛麸替替規趺歎芙扶艱輦輦難
夬,決刔快缺訣鴃决抉袂
夭,飫妖忝笑呑殀沃
央,泱鴦秧映英怏殃鞅
失,帙軼秩鉄跌佚迭
夲,皋
夷,洟銕姨痍
夸,跨胯匏刳桍瓠袴誇
夹,峡狭挟
夾,頰頬篋挾侠陜鋏莢浹狹峽筴
奄,罨閹俺掩庵菴淹
奇,欹綺倚寄羇椅碕掎猗埼剞崎騎畸
奈,捺
奉,棒捧俸
奏,輳湊
奐,換煥渙喚
契,喫禊楔
奚,鷄溪鶏渓谿蹊
奠,鄭
奥,襖
奧,墺懊燠澳礇
女,奸妾妊妓孀嫡娶堰妝姆妲始妄宴孃嫖娼娉娵娠嫣娯嫗妁娘嫦娥妛妻妨如妖妍孅嫐妃姐姫嫂婁媚婀嬶嬢姥姑姓姪嫁媼媛婚嬉姦姦姦嬬嫋嫌婆珱嬰姚姜媾媒媽嬾嬪委姙嬖婉姿屡嫉婢数嬋婦婪嬌姶姻姨婬婿要偃娚嫻娃嫩桜好妥妬妹妙安嫺威汝娩娜娑娟姉奴妣
奴,拏努呶駑弩怒帑孥
如,恕絮茹洳
妄,侫
妥,綏餒
妻,褄悽棲萋凄淒
妾,椄霎接
委,魏痿萎矮倭逶
威,縅鰄
娚,嫐嬲
婁,褸縷數楼螻樓髏窶鏤僂簍瘻
嬰,櫻纓嚶瓔鸚
子,孛孔享孕孜孩孚字孝孑孟學斿李仔斈好季孺孳厚学孤孫存孱孱孱孥
孔,吼
存,荐拵栫
孚,乳桴俘蜉艀浮殍孵郛
孛,悖勃
孝,酵教哮
孟,猛
季,悸
孤,菰
孫,遜
孰,塾熟
孱,潺
